index,search_song,search_artist,apple_track_id,preview_file,download_status
0,"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,1560735846.0,preview_clips/olivia_rodrigo__1_step_forward_3_steps_back__1560735846.0.m4a,already_exists
1,"""1, 2 Step""",Ciara Featuring Missy Elliott,1674065022.0,preview_clips/ciara_featuring_missy_elliott__1_2_step__1674065022.0.m4a,already_exists
2,"""1, 2, 3, 4""",Plain White T's,1605885112.0,preview_clips/plain_white_t_s__1_2_3_4__1605885112.0.m4a,already_exists
3,"""10,000 Hours""",Dan + Shay & Justin Bieber,1576237877.0,preview_clips/dan_shay_justin_bieber__10_000_hours__1576237877.0.m4a,already_exists
4,"""Awful, Beautiful Life""",Darryl Worley,1443592008.0,preview_clips/darryl_worley__awful_beautiful_life__1443592008.0.m4a,already_exists
5,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,1471277625.0,preview_clips/kendrick_lamar__bitch_don_t_kill_my_vibe__1471277625.0.m4a,already_exists
6,"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,1674065037.0,preview_clips/pinkpantheress_ice_spice__boy_s_a_liar_pt_2__1674065037.0.m4a,already_exists
7,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,1450334170.0,preview_clips/ariana_grande__break_up_with_your_girlfriend_i_m_bored__1450334170.0.m4a,already_exists
8,"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,1731060236.0,preview_clips/bizarrap_shakira__bzrp_music_sessions_vol_53__1731060236.0.m4a,already_exists
9,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,1452802587.0,preview_clips/toby_keith__courtesy_of_the_red_white_and_blue_the_angry_american__1452802587.0.m4a,already_exists
10,"""Dance, Dance""",Fall Out Boy,1440749367.0,preview_clips/fall_out_boy__dance_dance__1440749367.0.m4a,already_exists
11,"""Darling, I""","""Tyler, The Creator Featuring Teezo Touchdown""",1789446426.0,preview_clips/tyler_the_creator_featuring_teezo_touchdown__darling_i__1789446426.0.m4a,already_exists
12,"""Father Stretch My Hands, Pt. 1""",Kanye West,1442966474.0,preview_clips/kanye_west__father_stretch_my_hands_pt_1__1442966474.0.m4a,already_exists
13,"""Going, Going, Gone""",Luke Combs,1619409103.0,preview_clips/luke_combs__going_going_gone__1619409103.0.m4a,already_exists
14,"""Gone, Gone, Gone""",Phillip Phillips,1443181870.0,preview_clips/phillip_phillips__gone_gone_gone__1443181870.0.m4a,already_exists
15,"""Good Luck, Babe!""",Chappell Roan,1737497080.0,preview_clips/chappell_roan__good_luck_babe__1737497080.0.m4a,already_exists
16,"""Hey Look Ma, I Made It""",Panic! At The Disco,1361152140.0,preview_clips/panic_at_the_disco__hey_look_ma_i_made_it__1361152140.0.m4a,already_exists
17,"""Hey, Soul Sister""",Glee Cast,434383244.0,preview_clips/glee_cast__hey_soul_sister__434383244.0.m4a,already_exists
18,"""Hey, Soul Sister""",Train,425320500.0,preview_clips/train__hey_soul_sister__425320500.0.m4a,already_exists
19,"""Hold On, We're Going Home""",Drake Featuring Majid Jordan,1440829630.0,preview_clips/drake_featuring_majid_jordan__hold_on_we_re_going_home__1440829630.0.m4a,already_exists
20,"""Honey, I'm Good.""",Andy Grammer,1780516397.0,preview_clips/andy_grammer__honey_i_m_good__1780516397.0.m4a,already_exists
21,"""Huntin', Fishin' And Lovin' Every Day""",Luke Bryan,1440869441.0,preview_clips/luke_bryan__huntin_fishin_and_lovin_every_day__1440869441.0.m4a,already_exists
22,"""I Love You, I'm Sorry""",Gracie Abrams,1770861177.0,preview_clips/gracie_abrams__i_love_you_i_m_sorry__1770861177.0.m4a,already_exists
23,"""Jealousy, Jealousy""",Olivia Rodrigo,1560735861.0,preview_clips/olivia_rodrigo__jealousy_jealousy__1560735861.0.m4a,already_exists
24,"""Jesus, Take The Wheel""",Carrie Underwood,214695747.0,preview_clips/carrie_underwood__jesus_take_the_wheel__214695747.0.m4a,already_exists
25,"""John Cougar, John Deere, John 3:16""",Keith Urban,1440846072.0,preview_clips/keith_urban__john_cougar_john_deere_john_3_16__1440846072.0.m4a,already_exists
26,"""Lean Wit It, Rock Wit It""",Dem Franchize Boyz Featuring Lil Peanut & Charlay,723734713.0,preview_clips/dem_franchize_boyz_featuring_lil_peanut_charlay__lean_wit_it_rock_wit_it__723734713.0.m4a,already_exists
27,"""Love You, Miss You, Mean It""",Luke Bryan,1737278881.0,preview_clips/luke_bryan__love_you_miss_you_mean_it__1737278881.0.m4a,already_exists
28,"""Lover, Lover""",Jerrod Niemann,380055491.0,preview_clips/jerrod_niemann__lover_lover__380055491.0.m4a,already_exists
29,"""Mary, Did You Know?""",Pentatonix,1049043307.0,preview_clips/pentatonix__mary_did_you_know__1049043307.0.m4a,already_exists
30,"""No Body, No Crime""",Taylor Swift Featuring Haim,1544268348.0,preview_clips/taylor_swift_featuring_haim__no_body_no_crime__1544268348.0.m4a,already_exists
31,"""Pop, Lock & Drop It""",Huey,256901963.0,preview_clips/huey__pop_lock_drop_it__256901963.0.m4a,already_exists
32,"""Ready, Set, Don't Go""",Billy Ray Cyrus With Miley Cyrus,1443499196.0,preview_clips/billy_ray_cyrus_with_miley_cyrus__ready_set_don_t_go__1443499196.0.m4a,already_exists
33,"""Ready, Steady, Go!""",Harry Styles,1870984038.0,preview_clips/harry_styles__ready_steady_go__1870984038.0.m4a,already_exists
34,"""Santa, Can't You Hear Me""",Kelly Clarkson & Ariana Grande,1586039529.0,preview_clips/kelly_clarkson_ariana_grande__santa_can_t_you_hear_me__1586039529.0.m4a,already_exists
35,"""She's Mine, Pt. 1""",J. Cole,1440924585.0,preview_clips/j_cole__she_s_mine_pt_1__1440924585.0.m4a,already_exists
36,"""Sit Still, Look Pretty""",Daya,1749268241.0,preview_clips/daya__sit_still_look_pretty__1749268241.0.m4a,already_exists
37,"""Skoal, Chevy, And Browning""",Morgan Wallen,1802103918.0,preview_clips/morgan_wallen__skoal_chevy_and_browning__1802103918.0.m4a,already_exists
38,"""So Long, London""",Taylor Swift,1742058083.0,preview_clips/taylor_swift__so_long_london__1742058083.0.m4a,already_exists
39,"""Sorry, Blame It On Me""",Akon,1610800965.0,preview_clips/akon__sorry_blame_it_on_me__1610800965.0.m4a,already_exists
40,"""Sugar, We're Goin' Down""",Fall Out Boy,1440560144.0,preview_clips/fall_out_boy__sugar_we_re_goin_down__1440560144.0.m4a,already_exists
41,"""Sunrise, Sunburn, Sunset""",Luke Bryan,1440881618.0,preview_clips/luke_bryan__sunrise_sunburn_sunset__1440881618.0.m4a,already_exists
42,"""Thank U, Next""",Ariana Grande,1450334169.0,preview_clips/ariana_grande__thank_u_next__1450334169.0.m4a,already_exists
43,"""This Ain't A Scene, It's An Arms Race""",Fall Out Boy,1445734014.0,preview_clips/fall_out_boy__this_ain_t_a_scene_it_s_an_arms_race__1445734014.0.m4a,already_exists
44,"""Work Hard, Play Hard""",Wiz Khalifa,1636462613.0,preview_clips/wiz_khalifa__work_hard_play_hard__1636462613.0.m4a,already_exists
45,"""Would've, Could've, Should've""",Taylor Swift,1650841755.0,preview_clips/taylor_swift__would_ve_could_ve_should_ve__1650841755.0.m4a,already_exists
46,"""Yes, And?""",Ariana Grande,1724584103.0,preview_clips/ariana_grande__yes_and__1724584103.0.m4a,already_exists
47,"""You're A Mean One, Mr. Grinch""",Thurl Ravenscroft,1440902235.0,preview_clips/thurl_ravenscroft__you_re_a_mean_one_mr_grinch__1440902235.0.m4a,already_exists
48,"""You're On Your Own, Kid""",Taylor Swift,1651516420.0,preview_clips/taylor_swift__you_re_on_your_own_kid__1651516420.0.m4a,already_exists
49,"""You, Me, & Whiskey""",Justin Moore & Priscilla Block,1646554346.0,preview_clips/justin_moore_priscilla_block__you_me_whiskey__1646554346.0.m4a,already_exists
50,"""Young, Wild & Free""",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,1778118825.0,preview_clips/snoop_dogg_wiz_khalifa_featuring_bruno_mars__young_wild_free__1778118825.0.m4a,already_exists
51,#Beautiful,Mariah Carey Featuring Miguel,1443149685.0,preview_clips/mariah_carey_featuring_miguel__beautiful__1443149685.0.m4a,already_exists
52,#SELFIE,The Chainsmokers,1445876398.0,preview_clips/the_chainsmokers__selfie__1445876398.0.m4a,already_exists
53,#thatPOWER,will.i.am Featuring Justin Bieber,1443180801.0,preview_clips/will_i_am_featuring_justin_bieber__thatpower__1443180801.0.m4a,already_exists
54,'98 Braves,Morgan Wallen,1818424402.0,preview_clips/morgan_wallen__98_braves__1818424402.0.m4a,already_exists
55,'Til You Can't,Cody Johnson,1582024384.0,preview_clips/cody_johnson__til_you_can_t__1582024384.0.m4a,already_exists
56,'Tis The Damn Season,Taylor Swift,1544268343.0,preview_clips/taylor_swift__tis_the_damn_season__1544268343.0.m4a,already_exists
57,(I've Had) The Time Of My Life,Glee Cast,401927031.0,preview_clips/glee_cast__i_ve_had_the_time_of_my_life__401927031.0.m4a,already_exists
58,(It) Feels So Good,Steven Tyler,434496108.0,preview_clips/steven_tyler__it_feels_so_good__434496108.0.m4a,already_exists
59,(Kissed You) Good Night,Gloriana,470758198.0,preview_clips/gloriana__kissed_you_good_night__470758198.0.m4a,already_exists
