Song,Artist,first_chart_date,last_chart_date,entry_rank,peak_rank,total_weeks,top10_weeks,top40_weeks,avg_rank,peak_date,lifespan_weeks,time_to_peak,entry_year,weeks_since_last_chart,potentially_incomplete,apple_release_date,apple_duration_sec,apple_genre,days_release_to_chart,days_release_to_peak,tempo_bpm,tempo_bpm_raw,tempo_bpm_adjusted,tempo_adjustment_reason,rms_loudness,valence,arousal,spectral_centroid_mean,spectral_rolloff_mean,mode,key_strength,genre_1,genre_1_score,genre_2,genre_2_score,genre_3,genre_3_score,genre_4,genre_4_score,genre_5,genre_5_score,genre_family_blues,genre_family_classical,genre_family_electronic,genre_family_folk_world_and_country,genre_family_funk_soul,genre_family_hip_hop,genre_family_jazz,genre_family_latin,genre_family_pop,genre_family_reggae,genre_family_rock,audio_feature_error
"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,2021-06-02,2021-06-23,19,19,4,0,2,54.25,2021-06-02,4,0.0,2021,256.0,False,2021-05-21 12:00:00,163.593,Pop,11.0,11.0,172.265625,172.265625,86.1328125,halved_145_180_likely_double_time,0.1851660758256912,4.4646315574646,4.418777942657471,1722.5360169307369,776.5786374685565,major,0.8827824592590332,Pop---Ballad,0.1436557173728943,"Folk, World, & Country---Fado",0.1068629547953605,Pop---K-pop,0.1039163172245025,Electronic---Tropical House,0.0768783688545227,Funk / Soul---Neo Soul,0.0614642426371574,0.010975843802953,0.0110892162119853,0.5115856652500952,0.2158633907260991,0.1556696559928241,0.0429446414179892,0.1001633136474993,0.0522409636396332,0.448652009916259,0.005238184290647,0.1522798811151915,
"""1, 2 Step""",Ciara Featuring Missy Elliott,2005-01-05,2005-07-20,2,2,39,12,24,19.448275862068964,2005-01-05,39,0.0,2005,1087.0,False,2023-03-10 12:00:00,84.901,Hip-Hop/Rap,-6639.0,-6639.0,116.17340087890624,116.17340087890624,116.17340087890624,unchanged,0.2744864523410797,7.023382186889648,5.322175025939941,3324.4889456342357,2381.0047238372094,major,0.5088671445846558,Hip Hop---Trap,0.2558179199695587,Electronic---House,0.0804863944649696,Hip Hop---Cloud Rap,0.0742797702550888,Funk / Soul---Contemporary R&B,0.0666122362017631,Electronic---Bassline,0.0657594799995422,0.0002830643564379,1.678109285663254e-05,0.8112890149768646,0.0016374960343306,0.1239321051252773,0.4976354324694512,0.0007350929699612,0.0108245355109577,0.0708662881036161,0.0031684507894169,0.0078990155838454,
"""1, 2, 3, 4""",Plain White T's,2009-02-04,2009-06-17,91,34,20,0,5,47.8,2009-05-20,20,15.0,2009,883.0,False,2008-09-23 12:00:00,198.36,Rock,133.0,238.0,89.63284301757812,89.63284301757812,89.63284301757812,unchanged,0.2608727812767029,5.436964988708496,5.027246952056885,2826.1444637900904,1084.210110596459,major,0.9366236925125122,Rock---Pop Rock,0.1689557582139969,Rock---Alternative Rock,0.141305536031723,Rock---Acoustic,0.1393297165632248,Rock---Neofolk,0.0993709713220596,Rock---Indie Rock,0.0791819393634796,0.0535468151574605,0.001670860269769,0.0933820615877039,0.1110460716522538,0.003454331790067,0.0291338800673202,0.0052650258578523,0.0101159418546785,0.08351623892122,0.0236369697668124,1.1994829671690468,
"""10,000 Hours""",Dan + Shay & Justin Bieber,2019-10-16,2020-05-06,4,4,30,14,28,15.933333333333334,2019-10-16,30,0.0,2019,315.0,False,2019-10-04 07:00:00,167.773,Country,11.0,11.0,178.205810546875,178.205810546875,178.205810546875,kept_high_bpm_strong_electronic_or_rock,0.247301235795021,4.820089340209961,5.673097133636475,3112.8637020613796,1233.4686137354652,major,0.9379037022590636,Electronic---Disco Polo,0.3705374896526336,Pop---Europop,0.2030443698167801,Electronic---Eurodance,0.1353542059659958,Pop---Bubblegum,0.1150587722659111,Pop---Ballad,0.1077857762575149,0.0045024134701634,0.0021005663784308,0.8508116704310851,0.0767126356527114,0.2141320915870892,0.1678482672646168,0.0071652904707661,0.0812505159547072,0.6753853580048599,0.0167507415098953,0.1400708102431735,
"""Awful, Beautiful Life""",Darryl Worley,2005-01-05,2005-03-23,49,30,20,0,2,63.583333333333336,2005-01-19,20,2.0,2005,1104.0,False,2004-01-01 12:00:00,232.8,Country,369.0,383.0,112.45127868652344,112.45127868652344,112.45127868652344,unchanged,0.2487614154815673,6.257137298583984,5.357296466827393,2545.897490839995,1314.309933684593,major,0.941523015499115,"Folk, World, & Country---Country",0.4863526821136474,Rock---Country Rock,0.3699142336845398,Pop---Schlager,0.1936724931001663,"Folk, World, & Country---Honky Tonk",0.1927755922079086,"Folk, World, & Country---Volksmusik",0.1411667168140411,0.0819064273910044,0.0006750018927732,0.0101233732498741,1.104486714536904,0.0117468969758078,0.0011109765480861,0.0017281084004707,0.0007265952191221,0.2288289305265607,0.0009087275631145,0.7231533477498715,
"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,2013-01-23,2013-07-24,100,32,21,0,5,60.57142857142857,2013-05-29,21,18.0,2013,669.0,False,2012-10-22 12:00:00,310.725,Hip-Hop/Rap,92.0,218.0,134.04029846191406,134.04029846191406,134.04029846191406,unchanged,0.2419973760843277,4.764955043792725,5.098392009735107,3428.088212524036,1733.5228509578174,minor,0.6405454277992249,Hip Hop---Grime,0.4187261760234833,Hip Hop---Trap,0.2981710433959961,Hip Hop---Hardcore Hip-Hop,0.1929977238178253,Hip Hop---Crunk,0.1841342896223068,Hip Hop---Gangsta,0.1720883101224899,0.0001180236541378,8.743424672275069e-06,0.1844451124749013,0.0010661438710721,0.0131150897708494,1.8415314999620025,0.0002654908162327,0.0040715625044791,0.006537797319396,0.0013010009349727,0.0093476564462715,
"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,2023-02-15,2023-07-12,14,3,22,12,20,14.772727272727272,2023-03-01,22,2.0,2023,149.0,False,2023-03-10 12:00:00,129.675,Hip-Hop/Rap,-24.0,-10.0,133.11013793945312,133.11013793945312,133.11013793945312,unchanged,0.3337685763835907,5.9897141456604,5.882678985595703,2166.7756938017615,784.0255950218024,major,0.88822340965271,Electronic---House,0.2907502949237823,Electronic---Bleep,0.2737292051315307,Electronic---Techno,0.252173900604248,Electronic---UK Garage,0.1248980462551117,Hip Hop---Grime,0.1040518134832382,0.0005312463222253,0.0002187718349659,1.685066286818255,0.0070909787123127,0.0296582267255871,0.3551489226229023,0.0024508425199201,0.0168942325825582,0.0632415329637297,0.018584916688269,0.0196868767224032,
"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,2019-02-20,2019-07-03,2,2,20,2,18,19.85,2019-02-20,20,0.0,2019,359.0,False,2019-02-08 12:00:00,190.408,Pop,11.0,11.0,84.8890380859375,84.8890380859375,84.8890380859375,unchanged,0.3274330496788025,5.133042335510254,4.923632621765137,3362.750299506881,1035.9604023558436,minor,0.8841408491134644,Hip Hop---Trap,0.4286744296550751,Latin---Reggaeton,0.2929149270057678,Hip Hop---Cloud Rap,0.0497809685766696,Funk / Soul---Contemporary R&B,0.0483614057302475,Pop---Vocal,0.0394879877567291,0.0002488904702246,3.3731901236677686e-05,0.1069571897601697,0.0010842692483814,0.0658460234008089,0.5828483712714387,0.000397898434457,0.2940795939800051,0.1021978115593356,0.0039934590338361,0.005925913884206,
"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,2023-01-25,2023-05-10,9,9,15,1,6,51.4,2023-01-25,15,0.0,2023,158.0,False,2023-01-11 08:00:00,217.133,Pop Latino,13.0,13.0,122.20079803466795,122.20079803466795,122.20079803466795,unchanged,0.3178609013557434,6.135492324829102,6.549720764160156,2581.935252139443,939.5109855722716,minor,0.8397694230079651,Pop---K-pop,0.2765496671199798,Electronic---Synth-pop,0.2064572870731353,Electronic---Dance-pop,0.1547732353210449,Electronic---House,0.0973869785666465,Pop---Bubblegum,0.0712813585996627,0.0004129243239958,0.0007553437462775,1.2475681716005056,0.0106555523518636,0.0253057191293919,0.0796939733445469,0.0032730034110954,0.0156780613554019,0.5276817325284355,0.0123519636945275,0.0458819715975096,
"""Bzrp Music Sessions, Vol. 55""",Bizarrap & Peso Pluma,2023-06-14,2023-08-16,31,31,10,0,2,64.8,2023-06-14,10,0.0,2023,144.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
