Song,Artist,first_chart_date,last_chart_date,entry_rank,peak_rank,total_weeks,top10_weeks,top40_weeks,avg_rank,image_url,peak_date,lifespan_weeks,time_to_peak,entry_year,era,peak_success,avg_success,weeks_since_last_chart,potentially_incomplete
"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,2021-06-02,2021-06-23,19,19,4,0,2,54.25,https://charts-static.billboard.com/img/2019/11/oliviarodrigo-3wl-180x180.jpg,2021-06-02,4,0.0,2021,Post TikTok,82,46.75,256.0,False
"""1, 2 Many""",Luke Combs & Brooks & Dunn,2019-09-25,2019-09-25,97,97,1,0,0,97.0,https://charts-static.billboard.com/img/2015/07/luke-combs-vjy-180x180.jpg,2019-09-25,1,0.0,2019,Post TikTok,4,4.0,347.0,False
"""1, 2 Step""",Ciara Featuring Missy Elliott,2005-01-05,2005-07-20,2,2,39,12,24,19.448275862068964,https://charts-static.billboard.com/img/2004/06/ciara-a1k-180x180.jpg,2005-01-05,39,0.0,2005,Pre TikTok,99,81.55172413793103,1087.0,False
"""1, 2, 3, 4""",Plain White T's,2009-02-04,2009-06-17,91,34,20,0,5,47.8,https://charts-static.billboard.com/img/2005/11/plain-white-ts-kgg-180x180.jpg,2009-05-20,20,15.0,2009,Pre TikTok,67,53.2,883.0,False
"""10,000 Hours""",Dan + Shay & Justin Bieber,2019-10-16,2020-05-06,4,4,30,14,28,15.933333333333334,https://charts-static.billboard.com/img/2019/10/dan-shay-rcl-10000hours-e1h-180x180.jpg,2019-10-16,30,0.0,2019,Post TikTok,97,85.06666666666666,315.0,False
"""3,2,1""",Tucker Wetmore,2025-05-07,2025-12-10,97,69,7,0,0,89.71428571428571,https://charts-static.billboard.com/img/2025/03/tuckerwetmore-ras-321-17q-180x180.jpg,2025-12-10,7,31.0,2025,Post TikTok,32,11.285714285714292,23.0,False
"""A Little Less Sixteen Candles, A Little More Touch Me""",Fall Out Boy,2006-04-05,2006-06-28,91,65,13,0,0,75.84615384615384,https://charts-static.billboard.com/img/2004/01/fall-out-boy-4lw-180x180.jpg,2006-05-03,13,4.0,2006,Pre TikTok,36,25.15384615384616,1038.0,False
"""Angel, Pt. 1""","""Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long""",2023-05-31,2023-06-28,65,65,2,0,0,80.5,https://charts-static.billboard.com/img/2023/05/nlechoppa-3ro-angelpt1-7po-180x180.jpg,2023-05-31,2,0.0,2023,Post TikTok,36,20.5,151.0,False
"""Awful, Beautiful Life""",Darryl Worley,2005-01-05,2005-03-23,49,30,20,0,2,63.583333333333336,,2005-01-19,20,2.0,2005,Pre TikTok,71,37.416666666666664,1104.0,False
"""Ay, Dios Mio!""",Karol G,2020-10-07,2020-10-07,94,94,1,0,0,94.0,https://charts-static.billboard.com/img/2020/07/karol-g-7vn-aydiosmio-wv8-180x180.jpg,2020-10-07,1,0.0,2020,Post TikTok,7,7.0,293.0,False
"""Baby, I'm Jealous""",Bebe Rexha Featuring Doja Cat,2020-10-21,2020-10-21,58,58,1,0,0,58.0,https://charts-static.billboard.com/img/2020/10/bebe-rexha-tjw-babyimjealous-kcv-180x180.jpg,2020-10-21,1,0.0,2020,Post TikTok,43,43.0,291.0,False
"""Baby, It's Cold Outside""",Glee Cast,2010-12-22,2010-12-29,57,57,2,0,0,78.0,,2010-12-22,2,0.0,2010,Pre TikTok,44,23.0,803.0,False
"""Beamer, Benz, Or Bentley""",Lloyd Banks Featuring Juelz Santana,2010-02-24,2010-06-23,76,49,16,0,0,69.6875,https://charts-static.billboard.com/img/2003/08/lloyd-banks-c4t-180x180.jpg,2010-05-12,16,11.0,2010,Pre TikTok,52,31.3125,830.0,False
"""Big, Big Plans""",Chris Lane,2020-10-07,2021-02-24,93,42,20,0,0,67.1,https://charts-static.billboard.com/img/2019/07/chris-lane-000-bigbigplans-clh-180x180.jpg,2020-11-25,20,7.0,2020,Post TikTok,59,33.900000000000006,273.0,False
"""Bills, Bills, Bills""",Glee Cast,2011-02-16,2011-02-23,79,44,2,0,0,61.5,,2011-02-23,2,1.0,2011,Pre TikTok,57,39.5,795.0,False
"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,2013-01-23,2013-07-24,100,32,21,0,5,60.57142857142857,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,2013-05-29,21,18.0,2013,Pre TikTok,69,40.42857142857143,669.0,False
"""Bon, Bon""",Pitbull,2010-11-17,2010-12-22,61,61,5,0,0,86.6,https://charts-static.billboard.com/img/2004/04/pitbull-zjw-180x180.jpg,2010-11-17,5,0.0,2010,Pre TikTok,40,14.400000000000006,804.0,False
"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,2023-02-15,2023-07-12,14,3,22,12,20,14.772727272727273,https://charts-static.billboard.com/img/2022/12/pinkpantheress-qq7-boysaliarpt2-v8t-180x180.jpg,2023-03-01,22,2.0,2023,Post TikTok,98,86.22727272727272,149.0,False
"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,2019-02-20,2019-07-03,2,2,20,2,18,19.85,https://charts-static.billboard.com/img/2011/02/ariana-grande-i9s-180x180.jpg,2019-02-20,20,0.0,2019,Post TikTok,99,81.15,359.0,False
"""Burn, Burn, Burn""",Zach Bryan,2022-09-21,2024-01-10,100,93,3,0,0,97.33333333333333,https://charts-static.billboard.com/img/2022/09/zachbryan-6zf-burnburnburn-7j5-180x180.jpg,2024-01-10,3,68.0,2022,Post TikTok,8,3.6666666666666714,123.0,False
"""Bzrp Music Sessions, Vol. 52""",Bizarrap & Quevedo,2022-08-03,2022-11-09,98,79,10,0,0,92.1,https://charts-static.billboard.com/img/2022/07/bizarrap-9qh-bzrpmusicsessionsvol52-sh8-180x180.jpg,2022-10-19,10,11.0,2022,Post TikTok,22,8.900000000000006,184.0,False
