index,search_song_x,search_artist_x,search_term,matched_song,matched_artist,collection,preview_url,apple_release_date,apple_track_time_ms,apple_duration_sec,apple_genre,apple_collection,apple_track_id_x,apple_artist_id,match_score,title_score,artist_score,version_penalty,match_status,failure_reason,artist_overlap,usable_match,usable_match_v2,recovery_reason,search_song_y,search_artist_y,apple_track_id_y,preview_file,download_status
0,"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,1 step forward 3 steps back olivia rodrigo,"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/aa/70/f2/aa70f2bf-adc0-b6ad-d604-adfbcef5fba9/mzaf_12249777138695508371.plus.aac.p.m4a,2021-05-21T12:00:00Z,163593.0,163.593,Pop,SOUR,1560735846.0,979458609.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,1560735846.0,preview_clips/olivia_rodrigo__1_step_forward_3_steps_back__1560735846.0.m4a,already_exists
1,"""1, 2 Step""",Ciara Featuring Missy Elliott,1 2 step ciara,"1, 2 Step (feat. Missy Elliott) [Mixed]",Ciara,Fool's Gold Radio: Miles Medina (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7c/68/90/7c689016-4a7f-911a-17ac-f343a8d7915d/mzaf_14145981062291972862.plus.aac.p.m4a,2023-03-10T12:00:00Z,84901.0,84.901,Hip-Hop/Rap,Fool's Gold Radio: Miles Medina (DJ Mix),1674065022.0,14317116.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1, 2 Step""",Ciara Featuring Missy Elliott,1674065022.0,preview_clips/ciara_featuring_missy_elliott__1_2_step__1674065022.0.m4a,already_exists
2,"""1, 2, 3, 4""",Plain White T's,1 2 3 4 plain white ts,"1, 2, 3, 4",Plain White T's,Valentine's Day 2022,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/94/f4/09/94f4099b-db65-5421-454b-79851889968f/mzaf_11521262395858539712.plus.aac.p.m4a,2008-09-23T12:00:00Z,198360.0,198.36,Rock,Valentine's Day 2022,1605885112.0,16252710.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1, 2, 3, 4""",Plain White T's,1605885112.0,preview_clips/plain_white_t_s__1_2_3_4__1605885112.0.m4a,already_exists
3,"""10,000 Hours""",Dan + Shay & Justin Bieber,10 000 hours dan shay,"10,000 Hours",Dan + Shay & Justin Bieber,Good Things,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/25/c5/17/25c51736-ef24-5658-e046-d652a65c367e/mzaf_15864351614809114943.plus.aac.p.m4a,2019-10-04T07:00:00Z,167773.0,167.773,Country,Good Things,1576237877.0,690319057.0,0.8600000000000001,1.0,0.5333333333333333,0.0,REVIEW,SUCCESS,1.0,True,True,,"""10,000 Hours""",Dan + Shay & Justin Bieber,1576237877.0,preview_clips/dan_shay_justin_bieber__10_000_hours__1576237877.0.m4a,already_exists
4,"""Awful, Beautiful Life""",Darryl Worley,awful beautiful life darryl worley,Awful Beautiful Life,Darryl Worley,Darryl Worley,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e4/4a/b1/e44ab15a-ab77-e25a-25a0-eeca1e49684f/mzaf_11526989813572543213.plus.aac.p.m4a,2004-01-01T12:00:00Z,232800.0,232.8,Country,Darryl Worley,1443592008.0,3444891.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Awful, Beautiful Life""",Darryl Worley,1443592008.0,preview_clips/darryl_worley__awful_beautiful_life__1443592008.0.m4a,already_exists
5,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,bitch dont kill my vibe kendrick lamar,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c2/45/71/c245716f-4f3a-f893-5347-bc3890a14dcf/mzaf_6065836702607773520.plus.aac.p.m4a,2012-10-22T12:00:00Z,310725.0,310.725,Hip-Hop/Rap,"good kid, m.A.A.d city",1471277625.0,368183298.0,0.9861702127659576,0.9787234042553192,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,1471277625.0,preview_clips/kendrick_lamar__bitch_don_t_kill_my_vibe__1471277625.0.m4a,already_exists
6,"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,boys a liar pt 2 pinkpantheress,Boy's a liar Pt. 2 (Mixed),PinkPantheress & Ice Spice,Fool's Gold Radio: Miles Medina (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/a1/e5/d5/a1e5d595-f4ac-06b1-fa9e-18c798d481ea/mzaf_16573954398271143085.plus.aac.p.m4a,2023-03-10T12:00:00Z,129675.0,129.675,Hip-Hop/Rap,Fool's Gold Radio: Miles Medina (DJ Mix),1674065037.0,1552521489.0,0.9210526315789476,1.0,0.7368421052631579,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,1674065037.0,preview_clips/pinkpantheress_ice_spice__boy_s_a_liar_pt_2__1674065037.0.m4a,already_exists
7,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,break up with your girlfriend im bored ariana grande,"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/dd/f8/a9/ddf8a959-42af-53c8-5dfa-4ff4844652fd/mzaf_13002311379380859940.plus.aac.p.m4a,2019-02-08T12:00:00Z,190408.0,190.408,Pop,"thank u, next",1450334170.0,412778295.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,1450334170.0,preview_clips/ariana_grande__break_up_with_your_girlfriend_i_m_bored__1450334170.0.m4a,already_exists
8,"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,bzrp music sessions vol 53 bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,2023-01-11T08:00:00Z,217133.0,217.133,Pop Latino,Las Mujeres Ya No Lloran,1731060236.0,1239658213.0,0.8133333333333334,0.8666666666666667,0.6666666666666666,0.0,LOW_CONFIDENCE,SUCCESS,1.0,False,True,title_artist_formatting_recovery,"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,1731060236.0,preview_clips/bizarrap_shakira__bzrp_music_sessions_vol_53__1731060236.0.m4a,already_exists
9,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,courtesy of the red white and blue toby keith,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith,35 Biggest Hits,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/85/f3/6c/85f36cd4-299b-8b12-1002-30e109658c3c/mzaf_1495583741702253008.plus.aac.p.m4a,2002-05-27T12:00:00Z,195040.0,195.04,Country,35 Biggest Hits,1452802587.0,258069.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,1452802587.0,preview_clips/toby_keith__courtesy_of_the_red_white_and_blue_the_angry_american__1452802587.0.m4a,already_exists
