search_song,search_artist,search_term,matched_song,matched_artist,collection,preview_url,apple_release_date,apple_track_time_ms,apple_duration_sec,apple_genre,apple_collection,apple_track_id,apple_artist_id,match_score,title_score,artist_score,version_penalty,match_status,failure_reason,artist_overlap,usable_match
"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,bzrp music sessions vol 53 bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,2023-01-11T08:00:00Z,217133.0,217.133,Pop Latino,Las Mujeres Ya No Lloran,1731060236.0,1239658213.0,0.8133333333333334,0.8666666666666667,0.6666666666666666,0.0,LOW_CONFIDENCE,SUCCESS,1.0,False
"""Bzrp Music Sessions, Vol. 55""",Bizarrap & Peso Pluma,bzrp music sessions vol 55 bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,2023-01-11T08:00:00Z,217133.0,217.133,Pop Latino,Las Mujeres Ya No Lloran,1731060236.0,1239658213.0,0.7916666666666667,0.8333333333333334,0.6666666666666666,0.0,LOW_CONFIDENCE,SUCCESS,0.5,False
"""Dum, Dumb, And Dumber""","""Lil Baby, Young Thug & Future""",dum dumb and dumber lil baby,"Dum, Dumb, And Dumber",Yung Bala On Da Beat,Midnight On Malcolm X 2 - EP,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/04/98/42/0498426a-0302-8426-0daa-1f9c7a9dd8c9/mzaf_7945556857767403779.plus.aac.p.m4a,2025-02-17T12:00:00Z,194638.0,194.638,Hip-Hop/Rap,Midnight On Malcolm X 2 - EP,1792341134.0,1475422674.0,0.7857142857142858,1.0,0.2857142857142857,0.0,LOW_CONFIDENCE,SUCCESS,0.0,False
"""Me, Myself & I""",G-Eazy x Bebe Rexha,me myself i g eazy x bebe rexha,Me Myself and I,De La Soul,3 Feet High and Rising,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/59/f9/b1/59f9b16e-e931-2b25-267f-a8dfd7581fc9/mzaf_12900603430412658280.plus.aac.p.m4a,1989-03-03T08:00:00Z,229333.0,229.333,Hip-Hop/Rap,3 Feet High and Rising,1657705243.0,3496517.0,0.6620689655172415,0.8461538461538461,0.2068965517241379,0.0,LOW_CONFIDENCE,SUCCESS,0.0,False
"""Set Me Free, Pt. 2""",Jimin,set me free pt 2 jimin,Set Me Free Pt.2,OMJamie,Face - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/13/86/cf/1386cf67-e7cb-7036-230b-d5534e4bae30/mzaf_17160490699507534400.plus.aac.p.m4a,2023-04-04T12:00:00Z,195675.0,195.675,K-Pop,Face - Single,1680742206.0,796647962.0,0.8500000000000001,1.0,0.5,0.0,REVIEW,SUCCESS,0.0,False
"""You, Me, & Whiskey""",Justin Moore & Priscilla Block,you me whiskey justin moore,"You, Me, And Whiskey",Justin Moore & Priscilla Block,"You, Me, And Whiskey - Single",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d7/58/2c/d7582caf-1822-3f6b-133a-42152cf23900/mzaf_3375588626556631200.plus.aac.p.m4a,2022-10-07T12:00:00Z,187941.0,187.941,Country,"You, Me, And Whiskey - Single",1646554346.0,272639185.0,0.7987500000000001,0.875,0.6,0.0,LOW_CONFIDENCE,SUCCESS,1.0,False
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,home for the holidays perry como with mitchell ayers,,,,,,,,,,,,,,,,,NO_RESULTS,,False
100.mil',J. Cole & BAS,100 mil j cole,1 0 0 . m i l ‘,J. Cole & Bas,The Off-Season,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4c/43/ad/4c43ad5d-70b1-2bf3-c776-e3c010dd4465/mzaf_10318524618329105125.plus.aac.p.m4a,2021-05-14T12:00:00Z,163302.0,163.302,Hip-Hop/Rap,The Off-Season,1567422706.0,73705833.0,0.7805555555555556,0.7777777777777778,0.75,0.0,LOW_CONFIDENCE,SUCCESS,1.0,False
223's,YNW Melly & 9lokknine,223s ynw melly,223s,Precious Brown,223s - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/5f/07/c4/5f07c48f-b523-85df-7c1d-73db27b5b9ee/mzaf_10121435865174217460.plus.aac.p.m4a,2021-02-05T12:00:00Z,174384.0,174.384,Hip-Hop/Rap,223s - Single,1552101753.0,1552101752.0,0.7260869565217392,1.0,0.0869565217391304,0.0,LOW_CONFIDENCE,SUCCESS,0.0,False
30 For 30,SZA With Kendrick Lamar,30 for 30 sza with kendrick lamar,30 For 30,9th Island Studio,"9th Island Studio, Vol. 1",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d5/3d/6e/d53d6ebc-4074-d477-4c83-7c6fb2b13691/mzaf_4248625426235657885.plus.aac.p.m4a,2026-02-23T12:00:00Z,246898.0,246.898,Reggae,"9th Island Studio, Vol. 1",1880961831.0,1879425231.0,0.79,1.0,0.3,0.0,LOW_CONFIDENCE,SUCCESS,0.0,False
