search_song,search_artist,matched_song,matched_artist,collection,apple_genre,preview_url,match_status,title_score,artist_score,artist_overlap,version_penalty,failure_reason
"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,Pop Latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,LOW_CONFIDENCE,0.8666666666666667,0.6666666666666666,1.0,0.0,SUCCESS
"""Bzrp Music Sessions, Vol. 55""",Bizarrap & Peso Pluma,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,Pop Latino,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,LOW_CONFIDENCE,0.8333333333333334,0.6666666666666666,0.5,0.0,SUCCESS
"""Dum, Dumb, And Dumber""","""Lil Baby, Young Thug & Future""","Dum, Dumb, And Dumber",Yung Bala On Da Beat,Midnight On Malcolm X 2 - EP,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/04/98/42/0498426a-0302-8426-0daa-1f9c7a9dd8c9/mzaf_7945556857767403779.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.2857142857142857,0.0,0.0,SUCCESS
"""Me, Myself & I""",G-Eazy x Bebe Rexha,Me Myself and I,De La Soul,3 Feet High and Rising,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/59/f9/b1/59f9b16e-e931-2b25-267f-a8dfd7581fc9/mzaf_12900603430412658280.plus.aac.p.m4a,LOW_CONFIDENCE,0.8461538461538461,0.2068965517241379,0.0,0.0,SUCCESS
"""Set Me Free, Pt. 2""",Jimin,Set Me Free Pt.2,OMJamie,Face - Single,K-Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/13/86/cf/1386cf67-e7cb-7036-230b-d5534e4bae30/mzaf_17160490699507534400.plus.aac.p.m4a,REVIEW,1.0,0.5,0.0,0.0,SUCCESS
"""You, Me, & Whiskey""",Justin Moore & Priscilla Block,"You, Me, And Whiskey",Justin Moore & Priscilla Block,"You, Me, And Whiskey - Single",Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d7/58/2c/d7582caf-1822-3f6b-133a-42152cf23900/mzaf_3375588626556631200.plus.aac.p.m4a,LOW_CONFIDENCE,0.875,0.6,1.0,0.0,SUCCESS
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,,,,,,,,,,,NO_RESULTS
100.mil',J. Cole & BAS,1 0 0 . m i l ‘,J. Cole & Bas,The Off-Season,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4c/43/ad/4c43ad5d-70b1-2bf3-c776-e3c010dd4465/mzaf_10318524618329105125.plus.aac.p.m4a,LOW_CONFIDENCE,0.7777777777777778,0.75,1.0,0.0,SUCCESS
223's,YNW Melly & 9lokknine,223s,Precious Brown,223s - Single,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/5f/07/c4/5f07c48f-b523-85df-7c1d-73db27b5b9ee/mzaf_10121435865174217460.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.0869565217391304,0.0,0.0,SUCCESS
30 For 30,SZA With Kendrick Lamar,30 For 30,9th Island Studio,"9th Island Studio, Vol. 1",Reggae,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d5/3d/6e/d53d6ebc-4074-d477-4c83-7c6fb2b13691/mzaf_4248625426235657885.plus.aac.p.m4a,LOW_CONFIDENCE,1.0,0.3,0.0,0.0,SUCCESS
